Method,Economic↑,Effect Size(d),Diversity↑,Violations↓,Env. Impact↓,Gini↓,Time(s)
Random,918788±1926,-3.262,0.800±0.015,0±0,1.838±0.004,0.079±0.002,0.00
Rule Based,913746±0,N/A,0.476±0.000,0±0,1.827±0.000,0.082±0.000,0.00
Greedy,923230±0,N/A,0.506±0.000,0±0,1.846±0.000,0.076±0.000,0.00
Pimaluos,927514±14861,0.408,0.003±0.006,0±0,1.855±0.030,0.071±0.013,10.76
Pimaluos No Physics,926584±14508,0.327,0.091±0.182,0±0,1.853±0.029,0.072±0.013,10.81
Pimaluos No Gnn,921991±4655,-0.376,0.874±0.106,0±0,1.844±0.009,0.076±0.004,9.19
